sample_id,id_ecofog,project,site,sample_type,species,reference_genome,lane,read_group,read1,read2
DSW_AABI,IX09,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABI\tSM:DSW_AABI\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABIOSDA_5_1_22VLJNLT4.UDI317_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABIOSDA_5_2_22VLJNLT4.UDI317_clean.fastq.gz
DSW_AABJ,IX10,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABJ\tSM:DSW_AABJ\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABJOSDA_5_1_22VLJNLT4.UDI329_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABJOSDA_5_2_22VLJNLT4.UDI329_clean.fastq.gz
DSW_AABK,IX11,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABK\tSM:DSW_AABK\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABKOSDA_5_1_22VLJNLT4.UDI341_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABKOSDA_5_2_22VLJNLT4.UDI341_clean.fastq.gz
DSW_AABL,IX12,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABL\tSM:DSW_AABL\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABLOSDA_5_1_22VLJNLT4.UDI353_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABLOSDA_5_2_22VLJNLT4.UDI353_clean.fastq.gz
DSW_AABM,IX13,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABM\tSM:DSW_AABM\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABMOSDA_5_1_22VLJNLT4.UDI365_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABMOSDA_5_2_22VLJNLT4.UDI365_clean.fastq.gz
DSW_AABN,IX14,EXPAND,Trinité,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABN\tSM:DSW_AABN\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABNOSDA_5_1_22VLJNLT4.UDI377_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABNOSDA_5_2_22VLJNLT4.UDI377_clean.fastq.gz
DSW_AABP,IX16,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABP\tSM:DSW_AABP\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABPOSDA_5_1_22VLJNLT4.UDI306_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABPOSDA_5_2_22VLJNLT4.UDI306_clean.fastq.gz
DSW_AABQ,IX17,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,5,@RG\tID:DSW_AABQ\tSM:DSW_AABQ\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABQOSDA_5_1_22VLJNLT4.UDI318_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABQOSDA_5_2_22VLJNLT4.UDI318_clean.fastq.gz
DSW_AABR,IX18,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,6,@RG\tID:DSW_AABR\tSM:DSW_AABR\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABROSDA_6_1_22VLJNLT4.UDI330_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABROSDA_6_2_22VLJNLT4.UDI330_clean.fastq.gz
DSW_AABS,IX19,EXPAND,Saut_Takari,Cambium,Dicorynia_guianensis,/home/jbonnier/work/chapitre_5/raw_data/reference_genome/nuclear/Dgu_HS1_HYBRID_SCAFFOLD.fa,6,@RG\tID:DSW_AABS\tSM:DSW_AABS\tLB:EXPAND\tPL:ILLUMINA,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABSOSDA_6_1_22VLJNLT4.UDI342_clean.fastq.gz,/home/jbonnier/work/chapitre_5/raw_data/ind_dicorynia/EXPAND/DSW_AABSOSDA_6_2_22VLJNLT4.UDI342_clean.fastq.gz
